lat	lon	stars	diff	miles	high	low	ascent	desct	title	url
30.697718	-88.19487	4.0	blue	1.1	192	166	63	-71	Blue Trail	http://www.mtbproject.com//trail/4691518/blue-trail
30.784408	-88.098939	3.5	blue	0.7	39	12	38	-16	Hemp Trail	http://www.mtbproject.com//trail/7006649/hemp-trail
30.552174	-87.232909	3.5	blue	0.5	113	13	0	-99	Chute Trail	http://www.mtbproject.com//trail/7005212/chute-trail
30.781561	-88.104347	3.0	blue	3.2	40	5	153	-157	Cemetry Loop	http://www.mtbproject.com//trail/7006645/cemetry-loop
30.55164	-87.24218	3.0	blue	1.4	122	42	69	-90	Pate Trail	http://www.mtbproject.com//trail/7005210/pate-trail
30.781615	-88.09734	3.0	blueBlack	1.5	39	3	48	-75	Misery Trail	http://www.mtbproject.com//trail/7006661/misery-trail
30.780326	-88.107823	3.0	blueBlack	1.1	42	10	40	-36	Indian Loop	http://www.mtbproject.com//trail/7006657/indian-loop
30.7795	-88.093737	3.0	blueBlack	2.0	38	12	113	-113	The Black Forest Trail	http://www.mtbproject.com//trail/7006656/the-black-forest-trail
30.779253	-88.097232	3.0	black	1.6	36	13	86	-94	South Trail	http://www.mtbproject.com//trail/7006653/south-trail
30.779677	-88.097367	3.0	blue	0.8	38	20	42	-40	265 Loop	http://www.mtbproject.com//trail/7006652/265-loop
30.785087	-88.102999	3.0	greenBlue	0.7	28	3	25	-27	Beach Loop Trail	http://www.mtbproject.com//trail/7006646/beach-loop-trail
30.554441	-87.224555	3.0	greenBlue	0.3	62	50	18	-10	Coke Can	http://www.mtbproject.com//trail/7005629/coke-can
30.549389	-87.226073	3.0	greenBlue	0.4	48	14	34	0	Wantz-Valley Way	http://www.mtbproject.com//trail/7005572/wantz-valley-way
30.550565	-87.240473	3.0	greenBlue	0.7	105	48	4	-61	Treehugger	http://www.mtbproject.com//trail/7005570/treehugger
										
										
30.554673	-87.252843	3.0	green	0.4	131	106	25	-6	Breakout	http://www.mtbproject.com//trail/7005484/breakout
30.555895	-87.248576	3.0	green	0.3	122	106	1	-16	Qix	http://www.mtbproject.com//trail/7005483/qix
30.556274	-87.246581	3.0	blue	0.6	124	92	32	-32	Centipede	http://www.mtbproject.com//trail/7005480/centipede
30.558634	-87.236853	3.0	green	0.5	121	108	13	-6	Piggy Back (Ride)	http://www.mtbproject.com//trail/7005259/piggy-back-ride
30.556878	-87.238254	3.0	green	0.4	116	110	7	-3	Calkwalk	http://www.mtbproject.com//trail/7005258/calkwalk
30.552167	-87.244515	3.0	green	0.3	124	105	5	-20	Czechers	http://www.mtbproject.com//trail/7005256/czechers
30.697123	-88.202757	3.0	blueBlack	2.2	220	178	69	-67	Mike Thompson Loop	http://www.mtbproject.com//trail/4693770/mike-thompson-loop
30.693979	-88.20035	3.0	blue	1.2	208	176	51	-46	Red Rock	http://www.mtbproject.com//trail/4693650/red-rock
30.694628	-88.196442	3.0	greenBlue	1.1	204	184	46	-26	Grass Lands	http://www.mtbproject.com//trail/4693606/grass-lands
30.694806	-88.196038	3.0	greenBlue	0.7	196	170	42	-42	Front Trail	http://www.mtbproject.com//trail/4693567/front-trail
30.69401	-88.200511	3.0	greenBlue	1.0	218	205	28	-28	Eric's Trail	http://www.mtbproject.com//trail/4693523/erics-trail
30.694659	-88.2007	3.0	blueBlack	1.6	210	181	57	-77	The Bottoms	http://www.mtbproject.com//trail/4691577/the-bottoms
30.548995	-87.237481	2.0	greenBlue	0.5	115	40	75	-3	Greenbrier	http://www.mtbproject.com//trail/7005571/greenbrier
30.55301	-87.242206	2.0	green	0.6	119	89	13	-31	Hangman	http://www.mtbproject.com//trail/7005526/hangman
										
										
										
										
										
										
										
										
										
34.041993	-86.021162	5.0	green	1.7	680	533	35	-153	Black Creek Trail	http://www.mtbproject.com//trail/5066525/black-creek-trail
34.523716	-85.648604	5.0	blue	23.0	1795	971	2869	-2867	Desoto Trail with Wades Gap Climb	http://www.mtbproject.com//trail/7003701/desoto-trail-with-wades-gap-climb
34.744096	-86.508525	5.0	greenBlue	7.0	1639	1565	249	-249	Monte Sano Plateau Loop	http://www.mtbproject.com//trail/6168923/monte-sano-plateau-loop
34.384132	-86.199676	4.5	blue	8.7	1114	682	1019	-1045	Lake Guntersville State Park - Figure 8	http://www.mtbproject.com//trail/7001070/lake-guntersville-state-park-figure-8
34.743757	-86.511265	4.5	green	4.5	1633	1565	152	-152	Monte Sano State Park - Family Bike Trail	http://www.mtbproject.com//trail/1947173/monte-sano-state-park-family-bike-trail
34.748045	-86.53004	4.3	black	9.9	1633	1283	725	-724	Recommended Monte Sano Ride	http://www.mtbproject.com//trail/700296/recommended-monte-sano-ride
34.386994	-86.217534	4.0	blue	9.8	860	606	574	-576	Tour de Lake Guntersville State Park	http://www.mtbproject.com//trail/901023/tour-de-lake-guntersville-state-park
34.505678	-85.639657	4.0	blueBlack	7.8	1803	1629	852	-832	Tour de Conquistador	http://www.mtbproject.com//trail/6058285/tour-de-conquistador
34.744037	-86.508723	4.0	black	14.3	1630	982	1024	-1024	Monte Sano Mountain - Flat Rock Loop	http://www.mtbproject.com//trail/5274097/monte-sano-mountain-flat-rock-loop
34.656838	-86.516377	4.0	black	4.0	1508	1174	450	-449	Blevins Gap Scenic Ride	http://www.mtbproject.com//trail/844873/blevins-gap-scenic-ride
34.710415	-86.642833	3.3	blue	4.2	670	613	161	-162	Tri for Ole Glory Route	http://www.mtbproject.com//trail/3780529/tri-for-ole-glory-route
34.850764	-85.429316	5.0	blue	2.3	2009	1879	196	-204	Kettle Bottom Trail	http://www.mtbproject.com//trail/966628/kettle-bottom-trail
34.850786	-85.429271	5.0	blueBlack	0.8	2030	1990	35	-53	Slickenslide Trail	http://www.mtbproject.com//trail/966497/slickenslide-trail
34.042618	-86.032212	5.0	greenBlue	0.5	609	537	0	-73	Yellow Trail	http://www.mtbproject.com//trail/5108901/yellow-trail
34.743461	-86.509208	5.0	green	2.7	1631	1569	85	-92	Family Bike Trail	http://www.mtbproject.com//trail/761798/family-bike-trail
34.50057	-85.635067	5.0	blue	2.7	1708	1600	199	-200	Never Never Land Loop	http://www.mtbproject.com//trail/720676/never-never-land-loop
34.50154	-85.619032	5.0	blue	1.6	1768	1472	323	-27	CCC Quarry Trail	http://www.mtbproject.com//trail/720533/ccc-quarry-trail
34.722658	-86.499093	5.0	black	1.9	1375	1292	119	-180	Goat Trail	http://www.mtbproject.com//trail/703718/goat-trail
34.849864	-85.432146	5.0	blue	0.9	2168	2086	82	-12	Bella's	http://www.mtbproject.com//trail/5837953/bellas
34.839919	-85.440797	5.0	blueBlack	0.3	1928	1888	40	-1	South Hogsback	http://www.mtbproject.com//trail/5837942/south-hogsback
34.041472	-86.028026	5.0	green	0.5	687	652	35	-38	Cascade Creek Trail	http://www.mtbproject.com//trail/5073879/cascade-creek-trail
34.042186	-86.029481	5.0	blue	0.9	701	640	74	-82	Blue Trail	http://www.mtbproject.com//trail/4947271/blue-trail
34.04101	-86.028421	5.0	green	0.5	653	602	51	-48	Green Family Trail	http://www.mtbproject.com//trail/4920107/green-family-trail
34.743026	-86.508292	5.0	green	3.3	1643	1567	98	-96	South Plateau Loop	http://www.mtbproject.com//trail/750823/south-plateau-loop
34.837412	-85.439252	4.8	green	3.4	2001	1846	266	-230	Cloudland Canyon Connector Trail - 5 Points Section	http://www.mtbproject.com//trail/4330635/cloudland-canyon-connector-trail-5-points-section
34.861099	-85.425157	4.7	black	1.3	1947	1864	74	-90	Tailings Run Trail	http://www.mtbproject.com//trail/966519/tailings-run-trail
34.847513	-85.441003	4.5	blue	0.5	2227	2125	3	-104	Torino	http://www.mtbproject.com//trail/1013535/torino
34.639087	-86.512119	4.5	black	0.8	1505	1455	67	-18	West Bluff Trail	http://www.mtbproject.com//trail/851633/west-bluff-trail
34.72138	-86.537424	4.5	black	4.5	1474	1007	160	-561	Arrowhead Trail	http://www.mtbproject.com//trail/842301/arrowhead-trail
34.5051	-85.636109	4.5	green	1.9	1766	1706	57	-118	Family Trail	http://www.mtbproject.com//trail/720591/family-trail
34.50533	-85.637115	4.5	blue	0.7	1779	1683	17	-114	Dragon's Tail	http://www.mtbproject.com//trail/717001/dragons-tail
34.396349	-86.196738	4.3	greenBlue	3.3	1115	973	275	-274	Golf Course Loop	http://www.mtbproject.com//trail/6427844/golf-course-loop
34.846835	-85.429882	4.3	black	1.0	1947	1909	28	-58	North Hogsback Trail	http://www.mtbproject.com//trail/1557513/north-hogsback-trail
34.851	-85.424744	4.3	green	1.2	1962	1912	77	-37	Peace Can Trail	http://www.mtbproject.com//trail/956904/peace-can-trail
34.840406	-85.440482	4.0	black	1.1	2106	1900	207	-2	Caprock Trail	http://www.mtbproject.com//trail/4081005/caprock-trail
34.846466	-85.444067	4.0	green	1.3	2114	2008	69	-166	Mick's Trail	http://www.mtbproject.com//trail/956872/micks-trail
34.390219	-86.214085	4.0	blue	0.5	859	634	6	-231	Cave Trail - Alternate	http://www.mtbproject.com//trail/7000791/cave-trail-alternate
34.390145	-86.21386	4.0	blueBlack	1.1	1057	881	238	-62	Butler Pass Trail	http://www.mtbproject.com//trail/6482251/butler-pass-trail
34.495565	-85.643277	4.0	blue	1.0	1761	1707	65	-54	Vizzney Land Trail	http://www.mtbproject.com//trail/5437575/vizzney-land-trail
34.850786	-85.429307	4.0	blue	1.3	2244	1999	277	-48	Crosscut	http://www.mtbproject.com//trail/1013493/crosscut
34.840125	-85.439899	4.0	green	1.0	1947	1929	38	-20	Shale Flats Trail	http://www.mtbproject.com//trail/956821/shale-flats-trail
34.372937	-86.209261	4.0	blue	2.3	642	598	53	-85	Cutchenmine Trail	http://www.mtbproject.com//trail/905721/cutchenmine-trail
34.379758	-86.215073	4.0	blue	3.4	863	704	298	-295	Tom Bevill Trail	http://www.mtbproject.com//trail/905644/tom-bevill-trail
